bedrooms,bathrooms,toilets,parking_space,title,town,state,price
3,5,5,4,Terraced Duplexes,Mbora (Nbora),Abuja,23000000
6,8,8,4,Detached Duplex,Ikeja,Lagos,550000000
4,5,5,3,Terraced Duplexes,Lekki,Lagos,70000000
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,80000000
4,4,5,2,Semi Detached Duplex,Ajah,Lagos,80000000
4,4,5,4,Semi Detached Duplex,Port Harcourt,Rivers,80000000
5,5,5,4,Detached Duplex,Ibadan,Oyo,75000000
4,4,5,5,Terraced Duplexes,Wuye,Abuja,65000000
5,5,6,5,Detached Duplex,Lekki,Lagos,95000000
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,75000000
6,6,8,5,Detached Duplex,Isheri North,Lagos,155000000
5,5,6,4,Detached Duplex,Lekki,Lagos,115000000
5,5,6,4,Detached Duplex,Lekki,Lagos,155000000
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,70000000
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,45000000
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,68000000
5,5,6,4,Detached Duplex,Katampe,Abuja,85000000
3,3,4,7,Detached Bungalow,Apo,Abuja,28000000
4,4,5,4,Detached Duplex,Lekki,Lagos,65000000
3,3,4,2,Terraced Duplexes,Lekki,Lagos,45000000
5,5,5,4,Detached Duplex,Lekki,Lagos,80000000
5,6,6,4,Detached Duplex,Port Harcourt,Rivers,90000000
3,5,5,4,Detached Bungalow,Ibeju Lekki,Lagos,40000000
5,5,5,4,Detached Duplex,Lekki,Lagos,450000000
5,5,5,4,Detached Duplex,Ikeja,Lagos,200000000
4,4,5,4,Detached Duplex,Lekki,Lagos,120000000
3,3,4,3,Detached Bungalow,Mowe Ofada,Ogun,11500000
4,4,5,3,Terraced Duplexes,Katampe,Abuja,75000000
5,5,6,4,Detached Duplex,Lekki,Lagos,85000000
4,4,5,6,Detached Duplex,Enugu,Enugu,70000000
4,4,5,4,Terraced Duplexes,Victoria Island (VI),Lagos,120000000
4,5,5,4,Terraced Duplexes,Jahi,Abuja,55000000
4,5,6,3,Detached Duplex,Ikeja,Lagos,55000000
4,4,5,5,Detached Duplex,Lekki,Lagos,85000000
3,3,4,4,Semi Detached Duplex,Ibeju Lekki,Lagos,33000000
3,5,5,4,Semi Detached Duplex,Yaba,Lagos,35000000
5,5,6,4,Detached Duplex,Lekki,Lagos,150000000
5,5,6,6,Detached Duplex,Lekki,Lagos,370000000
4,4,5,6,Semi Detached Duplex,Ikoyi,Lagos,365000000
4,4,5,3,Terraced Duplexes,Lekki,Lagos,47000000
4,4,4,4,Terraced Duplexes,Ilorin East,Kwara,35000000
5,5,6,3,Detached Duplex,Lekki,Lagos,150000000
6,6,7,4,Detached Duplex,Ikoyi,Lagos,1400000000
4,4,5,4,Detached Duplex,Lekki,Lagos,120000000
4,5,6,4,Terraced Duplexes,Ajah,Lagos,40000000
5,4,6,1,Detached Duplex,Port Harcourt,Rivers,250000000
5,6,6,4,Detached Duplex,Lekki,Lagos,85000000
4,5,6,4,Semi Detached Duplex,Lekki,Lagos,95000000
5,5,6,6,Detached Duplex,Lekki,Lagos,90000000
4,5,5,4,Detached Duplex,Yaba,Lagos,110000000
3,5,5,3,Terraced Duplexes,Victoria Island (VI),Lagos,125000000
4,4,5,4,Detached Duplex,Lekki,Lagos,90000000
3,3,4,3,Detached Duplex,Lekki,Lagos,110000000
4,4,5,1,Detached Bungalow,Ikorodu,Lagos,12000000
4,4,5,3,Detached Duplex,Ajah,Lagos,60000000
3,4,4,4,Detached Duplex,Lekki,Lagos,120000000
5,5,6,5,Detached Duplex,Lekki,Lagos,120000000
5,5,6,6,Semi Detached Duplex,Ibeju Lekki,Lagos,49000000
6,6,7,3,Terraced Duplexes,Guzape District,Abuja,130000000
5,5,6,4,Detached Duplex,Lekki,Lagos,80000000
4,4,5,4,Detached Duplex,Lekki,Lagos,90000000
3,3,4,4,Semi Detached Duplex,Ibeju Lekki,Lagos,32000000
5,5,6,4,Semi Detached Duplex,Victoria Island (VI),Lagos,250000000
4,4,5,3,Detached Duplex,Lekki,Lagos,85000000
5,6,6,4,Detached Duplex,Gwarinpa,Abuja,110000000
5,6,6,9,Detached Duplex,Ikeja,Lagos,220000000
4,5,5,4,Detached Duplex,Gwarinpa,Abuja,90000000
5,5,6,4,Detached Duplex,Mabushi,Abuja,120000000
4,1,1,4,Detached Duplex,Ibadan,Oyo,80000000
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,61000000
5,5,6,4,Detached Duplex,Lekki,Lagos,120000000
2,2,3,3,Block of Flats,Ado-Odo/Ota,Ogun,6500000
3,4,4,4,Detached Duplex,Ajah,Lagos,40000000
4,4,4,2,Semi Detached Duplex,Lekki,Lagos,44000000
5,5,6,4,Detached Duplex,Lekki,Lagos,105000000
4,4,5,4,Detached Duplex,Lekki,Lagos,120000000
3,5,5,4,Block of Flats,Oshodi,Lagos,65000000
5,5,6,4,Detached Duplex,Lekki,Lagos,150000000
5,5,6,4,Detached Duplex,Lekki,Lagos,130000000
5,5,6,4,Detached Duplex,Lekki,Lagos,65000000
4,4,5,4,Detached Duplex,Lekki,Lagos,55000000
4,5,5,7,Detached Duplex,Lokogoma District,Abuja,30000000
5,5,6,5,Detached Duplex,Lekki,Lagos,135000000
4,4,5,4,Terraced Duplexes,Victoria Island (VI),Lagos,150000000
4,4,5,4,Detached Duplex,Ajah,Lagos,30000000
5,5,5,4,Detached Duplex,Asokoro District,Abuja,350000000
2,5,8,4,Block of Flats,Agege,Lagos,27999999
7,7,7,4,Detached Duplex,Asokoro District,Abuja,750000000
3,3,4,4,Detached Duplex,Ibeju Lekki,Lagos,23000000
4,5,5,6,Detached Bungalow,Port Harcourt,Rivers,33000000
4,4,5,2,Semi Detached Bungalow,Lekki,Lagos,85000000
4,5,5,5,Detached Bungalow,Port Harcourt,Rivers,35000000
3,3,3,6,Detached Bungalow,Chikun,Kaduna,15000000
9,9,9,1,Detached Bungalow,Ikorodu,Lagos,17000000
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,80000000
5,5,5,4,Detached Duplex,Lekki,Lagos,260000000
4,5,5,5,Semi Detached Duplex,Lekki,Lagos,76000000
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,61000000
5,5,6,4,Detached Duplex,Lekki,Lagos,100000000
5,7,7,4,Detached Duplex,Lekki,Lagos,130000000
2,3,3,2,Detached Bungalow,Guzape District,Abuja,7000000
5,5,5,4,Detached Duplex,Ajah,Lagos,100000000
5,5,6,4,Detached Duplex,Lekki,Lagos,99000000
4,4,5,3,Terraced Duplexes,Lekki,Lagos,47000000
1,1,1,6,Detached Duplex,Ejigbo,Lagos,40000000
4,5,5,4,Block of Flats,Ifako-Ijaiye,Lagos,25000000
5,5,5,4,Detached Bungalow,Ifo,Ogun,15000000
7,5,5,4,Detached Bungalow,Ibadan,Oyo,45000000
5,5,6,4,Detached Duplex,Lekki,Lagos,200000000
4,4,5,3,Detached Duplex,Lekki,Lagos,100000000
4,5,5,6,Detached Duplex,Ikorodu,Lagos,16500000
5,5,6,4,Detached Duplex,Magodo,Lagos,225000000
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,80000000
5,5,6,4,Detached Duplex,Lekki,Lagos,450000000
4,5,6,3,Detached Duplex,Ajah,Lagos,60000000
5,5,6,4,Detached Duplex,Lekki,Lagos,150000000
9,1,1,1,Detached Duplex,Katampe,Abuja,250000000
3,3,4,3,Terraced Duplexes,Ajah,Lagos,30000000
5,5,6,4,Semi Detached Duplex,Gudu,Abuja,110000000
5,5,6,6,Detached Duplex,Lekki,Lagos,155000000
3,4,4,4,Detached Bungalow,Ipaja,Lagos,25000000
4,4,5,4,Terraced Duplexes,Victoria Island (VI),Lagos,120000000
5,5,6,4,Detached Duplex,Lekki,Lagos,150000000
4,4,5,4,Detached Duplex,Lekki,Lagos,57000000
4,3,3,4,Detached Duplex,Ikeja,Lagos,85000000
4,5,5,3,Detached Duplex,Lekki,Lagos,95000000
5,5,6,4,Detached Duplex,Lekki,Lagos,300000000
4,4,5,4,Terraced Duplexes,Lekki,Lagos,62000000
5,5,6,5,Semi Detached Duplex,Ikoyi,Lagos,350000000
5,5,6,4,Detached Duplex,Lekki,Lagos,200000000
4,5,5,4,Semi Detached Duplex,Ibadan,Oyo,150000000
5,5,6,5,Detached Duplex,Lekki,Lagos,140000000
4,5,6,2,Semi Detached Duplex,Lekki,Lagos,67000000
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,68000000
2,5,3,1,Block of Flats,Gwarinpa,Abuja,130000000
4,4,5,5,Semi Detached Duplex,Port Harcourt,Rivers,35000000
5,5,6,4,Detached Duplex,Ikoyi,Lagos,600000000
6,6,8,4,Detached Duplex,Isheri North,Lagos,140000000
5,5,6,7,Detached Duplex,Lekki,Lagos,250000000
4,4,5,3,Terraced Duplexes,Victoria Island (VI),Lagos,200000000
5,5,5,4,Detached Duplex,Ikeja,Lagos,120000000
4,4,5,3,Detached Duplex,Kafe,Abuja,20000000
5,5,6,8,Detached Duplex,Guzape District,Abuja,120000000
5,5,6,5,Detached Duplex,Lekki,Lagos,130000000
5,5,6,3,Semi Detached Duplex,Lekki,Lagos,300000000
4,4,5,4,Detached Bungalow,Port Harcourt,Anambara,19000000
3,3,4,1,Terraced Bungalow,Ajah,Anambara,42000000
4,4,5,4,Detached Duplex,Lekki,Lagos,82000000
2,2,3,4,Block of Flats,Ajah,Lagos,19900000
9,5,5,4,Detached Duplex,Maitama District,Abuja,850000000
5,6,6,5,Detached Duplex,Magodo,Lagos,200000000
3,3,4,4,Terraced Duplexes,Asokoro District,Abuja,50000000
4,4,5,4,Detached Duplex,Lekki,Lagos,55000000
5,5,6,3,Detached Duplex,Lekki,Lagos,130000000
4,4,5,4,Detached Bungalow,Ayobo,Lagos,15000000
3,3,4,4,Block of Flats,Ajah,Lagos,42900000
4,4,5,4,Detached Duplex,Lekki,Lagos,70000000
4,4,5,4,Terraced Duplexes,Lekki,Lagos,80000000
4,5,5,4,Detached Duplex,Ibadan,Oyo,70000000
4,4,5,2,Terraced Duplexes,Lekki,Lagos,65000000
4,4,5,4,Terraced Duplexes,Katampe,Abuja,55000000
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,160000000
4,4,5,4,Detached Duplex,Ajah,Lagos,70000000
6,6,7,1,Detached Duplex,Amuwo Odofin,Lagos,200000000
4,4,5,3,Terraced Duplexes,Wuse 2,Abuja,220000000
5,5,5,4,Detached Duplex,Lekki,Lagos,300000000
4,4,5,5,Detached Duplex,Ajah,Lagos,60000000
5,5,6,4,Detached Duplex,Lekki,Lagos,120000000
4,5,6,3,Semi Detached Duplex,Ajah,Lagos,55000000
4,4,5,8,Detached Bungalow,Alimosho,Lagos,37000000
5,6,6,4,Detached Duplex,Lekki,Lagos,95000000
5,5,6,3,Detached Duplex,Lekki,Lagos,120000000
4,5,5,4,Detached Duplex,Ajah,Lagos,50000000
5,5,6,6,Detached Duplex,Magodo,Lagos,190000000
5,5,6,6,Detached Duplex,Lekki,Lagos,330000000
5,5,6,4,Detached Duplex,Lekki,Lagos,270000000
5,6,6,1,Detached Duplex,Gwarinpa,Abuja,220000000
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,180000000
8,8,8,4,Block of Flats,Ilupeju,Lagos,90000000
5,6,6,4,Detached Duplex,Lekki,Anambara,260000000
4,5,6,2,Terraced Duplexes,Life Camp,Abuja,50000000
3,3,4,4,Terraced Duplexes,Ajah,Lagos,35000000
3,3,4,4,Semi Detached Bungalow,Ajah,Anambara,18000000
4,5,5,4,Terraced Duplexes,Mabushi,Abuja,40000000
5,5,6,2,Detached Duplex,Ajah,Lagos,74000000
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,65000000
5,5,6,6,Detached Duplex,Lekki,Lagos,255000000
5,5,5,4,Detached Duplex,Lekki,Lagos,90000000
4,5,5,4,Detached Bungalow,Owerri Municipal,Imo,25000000
5,5,6,4,Semi Detached Duplex,Ikoyi,Lagos,250000000
5,6,6,4,Detached Duplex,Lekki,Lagos,120000000
4,4,5,3,Terraced Duplexes,Lekki,Lagos,47000000
5,5,5,6,Detached Duplex,Lekki,Lagos,250000000
4,4,5,4,Terraced Duplexes,Lekki,Lagos,155000000
5,5,6,4,Detached Duplex,Lekki,Lagos,125000000
5,5,5,4,Detached Duplex,Lekki,Lagos,300000000
3,3,4,3,Terraced Duplexes,Lugbe District,Abuja,25000000
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,55000000
4,5,5,4,Semi Detached Bungalow,Lekki,Lagos,120000000
4,4,4,4,Detached Duplex,Lekki,Lagos,60000000
3,4,4,5,Detached Bungalow,Lokogoma District,Abuja,35000000
4,4,5,6,Detached Bungalow,Ikorodu,Lagos,17000000
4,5,5,2,Semi Detached Duplex,Ajah,Lagos,65000000
2,2,3,2,Detached Bungalow,Mowe Ofada,Ogun,8500000
5,5,5,4,Detached Duplex,Lekki,Lagos,110000000
5,5,6,2,Detached Duplex,Lekki,Lagos,50000000
5,5,6,2,Terraced Duplexes,Ogudu,Lagos,90000000
5,5,6,4,Detached Duplex,Lekki,Lagos,85000000
3,3,4,4,Terraced Duplexes,Karsana,Abuja,23500000
5,6,5,4,Detached Duplex,Ikoyi,Lagos,600000000
4,5,5,3,Terraced Duplexes,Lekki,Lagos,85000000
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,140000000
6,6,7,4,Detached Duplex,Victoria Island (VI),Lagos,450000000
5,5,6,4,Detached Duplex,Lekki,Lagos,160000000
5,5,6,6,Detached Duplex,Lekki,Lagos,140000000
5,5,6,3,Detached Duplex,Alimosho,Lagos,18000000
2,2,3,1,Block of Flats,Asaba,Delta,50000000
4,4,5,4,Detached Duplex,Lekki,Lagos,80000000
4,4,4,4,Detached Duplex,Lokoja,Kogi,20000000
5,5,6,9,Detached Duplex,Magodo,Lagos,135000000
3,3,3,8,Block of Flats,Ikotun,Lagos,26000000
5,5,5,4,Detached Duplex,Ikoyi,Lagos,1000000000
5,5,6,4,Detached Duplex,Lekki,Lagos,300000000
5,5,6,4,Detached Duplex,Lekki,Lagos,320000000
5,5,6,1,Detached Duplex,Lekki,Lagos,700000000
4,5,5,4,Detached Duplex,Katampe,Abuja,250000000
6,5,5,4,Semi Detached Duplex,Katampe,Abuja,160000000
5,5,6,5,Detached Duplex,Magodo,Lagos,140000000
4,5,5,4,Block of Flats,Alimosho,Lagos,16000000
3,3,4,6,Detached Bungalow,Simawa,Ogun,35000000
5,5,5,4,Terraced Bungalow,Ikoyi,Lagos,550000000
5,5,6,4,Detached Duplex,Magodo,Lagos,235000000
5,5,6,5,Detached Duplex,Isheri North,Lagos,69000000
3,3,5,4,Detached Bungalow,Mowe Town,Ogun,17500000
5,5,5,4,Detached Duplex,Lekki,Lagos,130000000
4,5,5,1,Detached Duplex,Lekki,Lagos,90000000
6,6,7,6,Detached Duplex,Ikoyi,Lagos,1300000000
3,3,4,4,Detached Bungalow,Ajah,Lagos,34000000
5,5,6,6,Detached Duplex,Apo,Abuja,195000000
4,4,5,4,Detached Duplex,Lekki,Lagos,75000000
4,4,5,4,Semi Detached Duplex,Ikoyi,Lagos,220000000
5,5,6,4,Detached Duplex,Lekki,Lagos,100000000
5,5,6,4,Detached Duplex,Ajah,Lagos,75000000
3,3,4,5,Semi Detached Duplex,Karsana,Abuja,25000000
6,8,8,8,Semi Detached Duplex,Gwarinpa,Abuja,180000000
4,4,5,8,Detached Duplex,Port Harcourt,Rivers,45000000
4,5,5,4,Terraced Duplexes,Lekki,Lagos,45000000
5,5,6,4,Detached Duplex,Ojodu,Lagos,80000000
4,4,5,2,Terraced Duplexes,Life Camp,Abuja,60000000
4,4,5,4,Detached Duplex,Lekki,Lagos,65000000
5,6,6,5,Detached Duplex,Ikoyi,Lagos,399000000
3,3,3,4,Detached Bungalow,Agege,Lagos,12000000
4,4,4,4,Detached Duplex,Life Camp,Abuja,50000000
5,6,6,7,Detached Duplex,Ikoyi,Lagos,1600000000
6,6,7,1,Detached Duplex,Lekki,Lagos,400000000
4,4,5,4,Detached Duplex,Lekki,Lagos,75000000
4,4,5,3,Detached Duplex,Lekki,Lagos,70000000
4,4,5,4,Detached Duplex,Ajah,Lagos,65000000
5,5,6,7,Detached Duplex,Ikoyi,Lagos,500000000
5,5,5,4,Detached Duplex,Lekki,Lagos,300000000
6,6,7,4,Detached Duplex,Victoria Island (VI),Lagos,450000000
5,5,6,5,Detached Duplex,Lekki,Lagos,160000000
4,6,6,4,Detached Duplex,Lekki,Lagos,65000000
4,5,6,5,Detached Duplex,Lekki,Lagos,65000000
5,5,6,4,Detached Duplex,Lekki,Lagos,300000000
4,5,5,4,Detached Duplex,Magodo,Lagos,35000000
4,5,6,3,Terraced Duplexes,Lekki,Lagos,75000000
4,5,6,4,Terraced Duplexes,Jahi,Abuja,80000000
3,2,3,9,Detached Bungalow,Ikorodu,Lagos,10500000
4,5,5,4,Terraced Duplexes,Lekki,Lagos,52000000
3,3,4,4,Detached Bungalow,Port Harcourt,Rivers,28000000
3,3,3,4,Detached Bungalow,Lokogoma District,Abuja,35000000
5,5,6,4,Detached Duplex,Ikoyi,Lagos,600000000
5,6,6,8,Detached Duplex,Magodo,Lagos,165000000
4,4,5,4,Detached Duplex,Lekki,Lagos,58000000
4,4,5,3,Semi Detached Duplex,Wuye,Abuja,170000000
5,5,6,2,Detached Duplex,Lekki,Lagos,110000000
4,4,4,5,Detached Duplex,Ajah,Lagos,53000000
4,4,5,8,Detached Duplex,Port Harcourt,Rivers,45000000
4,4,5,2,Semi Detached Duplex,Ikeja,Lagos,90000000
6,6,7,1,Detached Duplex,Lekki,Lagos,280000000
4,4,5,4,Detached Duplex,Ajah,Lagos,75000000
5,5,6,4,Detached Duplex,Lekki,Lagos,120000000
4,4,5,4,Terraced Duplexes,Lekki,Lagos,60000000
4,4,5,4,Detached Duplex,Ikoyi,Lagos,280000000
5,5,6,4,Detached Duplex,Lekki,Lagos,100000000
3,3,4,2,Block of Flats,Lekki,Lagos,35000000
5,6,7,5,Detached Duplex,Arepo,Ogun,75000000
3,3,3,4,Terraced Duplexes,Lekki,Lagos,31000000
5,5,6,4,Detached Duplex,Magodo,Lagos,235000000
4,4,5,4,Terraced Duplexes,Victoria Island (VI),Lagos,150000000
1,1,1,4,Block of Flats,Ikoyi,Lagos,290000000
4,5,5,4,Terraced Duplexes,Guzape District,Abuja,87000000
5,5,6,6,Detached Duplex,Ikoyi,Lagos,950000000
5,5,6,4,Semi Detached Duplex,Gwarinpa,Abuja,90000000
4,4,5,6,Detached Bungalow,Enugu,Enugu,32000000
4,4,5,3,Detached Duplex,Ajah,Lagos,55000000
4,4,4,4,Detached Duplex,Ajah,Lagos,70000000
4,5,5,4,Block of Flats,Lekki,Lagos,95000000
4,5,5,4,Detached Duplex,Enugu,Enugu,70000000
6,6,7,4,Detached Duplex,Victoria Island (VI),Lagos,450000000
4,4,5,4,Terraced Duplexes,Lekki,Lagos,150000000
5,5,6,3,Detached Duplex,Lekki,Lagos,120000000
3,3,4,6,Semi Detached Bungalow,Ibeju Lekki,Lagos,18000000
5,5,6,1,Detached Bungalow,Asokoro District,Abuja,360000000
4,4,5,4,Terraced Duplexes,Lekki,Lagos,45000000
5,5,5,4,Detached Duplex,Lekki,Lagos,380000000
5,5,5,4,Detached Duplex,Ikoyi,Lagos,750000000
5,4,5,1,Detached Duplex,Oredo,Edo,250000000
5,5,7,4,Detached Duplex,Ikoyi,Lagos,550000000
4,5,5,4,Semi Detached Duplex,Ikoyi,Lagos,220000000
5,5,6,4,Detached Duplex,Lekki,Lagos,95000000
5,5,6,4,Detached Duplex,Lekki,Lagos,100000000
4,4,5,4,Detached Duplex,Ajah,Lagos,18000000
4,5,5,4,Block of Flats,Alimosho,Lagos,45000000
5,6,7,4,Detached Duplex,Apapa,Lagos,450000000
5,5,5,4,Detached Duplex,Lekki,Lagos,400000000
5,5,6,5,Detached Duplex,Lekki,Lagos,180000000
4,4,5,1,Detached Bungalow,Lugbe District,Abuja,30000000
3,3,4,3,Detached Bungalow,Ifako-Ijaiye,Lagos,12500000
5,5,6,4,Detached Duplex,Ikoyi,Lagos,1600000000
5,5,6,4,Detached Duplex,Lekki,Lagos,120000000
5,5,6,4,Detached Duplex,Lekki,Lagos,100000000
5,5,6,3,Detached Duplex,Lekki,Lagos,330000000
4,4,5,4,Detached Duplex,Ajah,Lagos,65000000
3,3,3,3,Detached Bungalow,Mowe Ofada,Ogun,11500000
5,7,7,4,Detached Duplex,Ajah,Lagos,75000000
5,5,6,4,Semi Detached Duplex,Wuye,Abuja,65000000
5,5,5,4,Detached Duplex,Ikoyi,Lagos,350000000
5,5,5,4,Detached Duplex,Lekki,Lagos,110000000
4,4,5,5,Detached Duplex,Lugbe District,Abuja,32000000
4,5,5,3,Terraced Duplexes,Lekki,Lagos,51000000
5,5,6,4,Detached Bungalow,Ajah,Lagos,70000000
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,75000000
4,4,5,3,Detached Duplex,Lekki,Lagos,120000000
4,5,5,4,Terraced Bungalow,Lekki,Anambara,38000000
5,5,6,4,Detached Duplex,Lekki,Lagos,90000000
5,5,5,4,Detached Duplex,Lekki,Lagos,150000000
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,75000000
4,5,5,4,Block of Flats,Alimosho,Lagos,45000000
5,5,5,5,Detached Duplex,Lekki,Lagos,310000000
